ep,tag,loss_data,loss_arrhenius,loss_peak_height,loss_tail_decline,loss_reg,loss_total
17,[Warmup theta] Ep 17,0.05212992902683631,0.01124811628917316,0.0022613620862932315,1.851312125527816e-21,0.0,0.052355478380320106
18,[Warmup theta] Ep 18,0.05198681801305832,0.011103744979377266,0.0022932742546898834,0.0,0.0,0.052212519259695465
19,[Warmup theta] Ep 19,0.05256908848726501,0.011322764126030175,0.0022110920610806835,4.54991403800293e-25,0.0,0.052792870840225534
20,[Warmup theta] Ep 20,0.05232487022373322,0.011389573683609834,0.002228561371860135,4.0055952234311024e-17,0.0,0.05255019421812969
21,[Warmup theta] Ep 21,0.0525399348965997,0.011396373177433873,0.0022937045934690458,5.532594173080204e-24,0.0,0.05276858374877069
22,[Warmup theta] Ep 22,0.05219310784040162,0.010980600709313745,0.0022621340245090986,8.204943014316664e-24,0.0,0.05241602081317782
23,[Warmup theta] Ep 23,0.05261676966449716,0.011195577479697563,0.002238651245385683,0.0,0.0,0.052840658177218926
24,[Warmup theta] Ep 24,0.052172869270319236,0.0110582413974109,0.0021992781367973155,0.0,0.0,0.052393415778128616
25,[Warmup theta] Ep 25,0.052021129648851416,0.011302727299767572,0.002299481463243357,0.0,0.0,0.052249130996904834
26,[Alt1 theta] Ep 01,0.05198381960639512,0.01133573323756725,0.0022438624277894945,1.9950918549102165e-23,0.0,0.05220937000394606
27,[Alt1 theta] Ep 02,0.0523872266902152,0.011039431299175229,0.00229854505461216,0.0,0.0,0.052612548448598466
28,[Alt1 theta] Ep 03,0.051761413085891085,0.011129336045669005,0.0022973499952170058,0.0,0.0,0.05198757390351127
29,[Alt1 theta] Ep 04,0.051939571316161,0.010750740498035878,0.002485144817942885,5.999698722146589e-16,0.0,0.05217133613926283
30,[Alt1 theta] Ep 05,0.05178501623103748,0.0114404677270769,0.0021947362952803805,2.0542281375188842e-24,0.0,0.05200915780392484
31,[Alt1 theta] Ep 06,0.05235080106544669,0.011145863447103414,0.0022597016225985216,1.370000596736748e-17,0.0,0.052575244830485
32,[Alt1 theta] Ep 07,0.05224693767665592,0.011243802470129889,0.002195821756789405,0.0,0.0,0.05246916648602482
33,[Alt1 theta] Ep 08,0.052185856357535663,0.011193675500852568,0.0022168299120272983,0.0,0.0,0.05240863461995514
34,[Alt1 resid] Ep 01,0.05176794964155216,0.010921705681998451,0.0023480878576993707,2.928283706694804e-17,2.0988085610303692e-08,0.051994571301809234
35,[Alt1 resid] Ep 02,0.052146839182446336,0.011107561556068627,0.0022336419616840893,1.0154913930085378e-23,9.993725451589124e-08,0.05236959698618398
36,[Alt1 resid] Ep 03,0.05192953222829781,0.011065156341673018,0.002351455320225087,0.0,1.6498737818591435e-07,0.05215775637744783
37,[Alt1 resid] Ep 04,0.05199490810287193,0.011066133911545211,0.0022820405849633112,1.150542647578336e-15,1.9552879413273692e-07,0.052219671393096495
38,[Alt1 resid] Ep 05,0.0518104398863281,0.011006423213460424,0.0022773658506005157,7.463946487122668e-16,2.0691172063801755e-07,0.05203437216911331
39,[Alt1 resid] Ep 06,0.05152800816493025,0.011040169645000148,0.0021886821623521642,0.0,2.447313531488075e-07,0.051747844191079306
40,[Alt1 resid] Ep 07,0.05195095093222335,0.011012198420258256,0.0021959558241244005,0.0,2.4050908960900727e-07,0.05217087084557526
41,[Alt1 resid] Ep 08,0.0517640940408193,0.011093946727546485,0.0022730440403778748,4.687316131850016e-18,2.4195746088177356e-07,0.051988685916561785
42,[Alt2 theta] Ep 01,0.05211494539849678,0.010908128173501641,0.0024499579535468452,7.736970901762492e-22,2.4358314476558007e-07,0.052346524417501046
43,[Alt2 theta] Ep 02,0.0519171645571184,0.011079206123008384,0.0021846894705738924,1.4538877616291696e-24,2.4358314476558007e-07,0.05213719107072196
44,[Alt2 theta] Ep 03,0.05212654590214443,0.011017790248802116,0.0023723898854150667,4.485496833377771e-23,2.4358314476558007e-07,0.05235534326618051
45,[Alt2 theta] Ep 04,0.051998456995116196,0.011018693447113037,0.00220674359078307,9.671681238739545e-18,2.4358314476558007e-07,0.052218981321087224
46,[Alt2 theta] Ep 05,0.05225047161503745,0.011013737938425562,0.0022506982099945705,5.537093681038419e-22,2.4358314476558007e-07,0.05247314367050028
47,[Alt2 theta] Ep 06,0.05190694480788315,0.010832205012037948,0.0023993498775084147,0.0,2.4358314476558007e-07,0.05213523459901848
48,[Alt2 theta] Ep 07,0.051622648427141246,0.01141162793915551,0.0022871330400081593,1.3643353965710635e-18,2.4358314476558007e-07,0.05185112154304243
49,[Alt2 theta] Ep 08,0.052291729318624074,0.011128723621368408,0.0021796059909339523,1.6905152997431541e-22,2.4358314476558007e-07,0.052511996704967576
50,[Alt2 resid] Ep 01,0.051775734445818504,0.010563588894165313,0.0023623303060029068,0.0,2.421024682512489e-07,0.05199948682498002
51,[Alt2 resid] Ep 02,0.051692792572613874,0.010389830346580024,0.0023607809498090064,0.0,2.3075707837442842e-07,0.05191473023984833
52,[Alt2 resid] Ep 03,0.05206796686612867,0.010446590883237822,0.0024022767555457432,1.0556881437284927e-16,2.2127959102295494e-07,0.05229254652035993
53,[Alt2 resid] Ep 04,0.052046118253267264,0.010504112318829374,0.0023101549536008836,0.0,2.0733175804027498e-07,0.05226666710668806
54,[Alt2 resid] Ep 05,0.05170323636523356,0.010537965072167886,0.002412310230513187,1.2536990271910835e-24,2.1284496506831938e-07,0.051929231453582074
55,[Alt2 resid] Ep 06,0.051890311400334746,0.010553022494187226,0.0023137066314632706,1.0703926552376473e-24,2.1983575550934433e-07,0.05211152707967018
56,[Alt2 resid] Ep 07,0.05207410535034682,0.010597572938815967,0.0023928596476175167,0.0,2.0898770349110753e-07,0.052299723937385925
57,[Alt2 resid] Ep 08,0.051897631856263615,0.01031084774850725,0.002362809399359125,0.0,2.0611772152131232e-07,0.05211888079511564
58,[Alt3 theta] Ep 01,0.05185550666647032,0.010919863844777012,0.0023274922407504287,5.102879580349068e-12,2.153236985230472e-07,0.052081079820594706
